# g_p / g_r^k where k = 4.0
0.0 1.0
1.0 4.074884237616661
2.0 11.770203315083267
3.0 28.3520704676108
4.0 61.9587282712927
5.0 128.2245319840173
6.0 256.5464981757756
7.0 496.8861525678454
8.0 964.0299540749425
9.0 1789.8033469462866
10.0 3234.466596563616
11.0 6743.815603356573
12.0 12155.97504616356
13.0 20927.82526927284
14.0 43129.81480386925
15.0 121855.07594529787
16.0 63956.271662716936
17.0 286750.6455325979
18.0 2141247.2319977493
19.0 6317100.917637116
20.0 9678197.5899529
21.0 60947309.87207942
22.0 -419948828.37982357
23.0 329481286.0828501
24.0 1078907699.4177973
25.0 3207758312.854072
26.0 25512738903.746433
27.0 35146956115.44685
28.0 -386122073617.15393
29.0 -729955424051.4358
30.0 -1920658653177.4067
31.0 154954031222.82062
32.0 1629502214314.7036
33.0 2863494953544.707
34.0 6279162912686.956
35.0 13777260696847.877
36.0 32682616653337.49
37.0 -4144820388557.485
38.0 -177247460136846.97
39.0 72149471264645.16
40.0 -1.0345070338935816e+16
41.0 -2.4297412703054897e+19
42.0 -4205833227587842.0
43.0 -7.164615577030959e+17
44.0 -1399002290860574.0
45.0 -2107388238755783.0
46.0 -56938522317168.266
47.0 -4054952368332.908
48.0 19177183485113.523
49.0 2.531559686376052e+18
50.0 -1.3607737170749757e+18
51.0 -206250109798381.28
52.0 -985498177730969.8
53.0 4.416786360623531e+16
54.0 4.622962377507684e+16
55.0 11100126660581.35
56.0 -1.5852643857222835e+17
57.0 -4.57047295629969e+16
58.0 -2452204497956359.5
59.0 4.848757609070117e+16
60.0 -722003866980236.8
61.0 -220717097427202.53
62.0 -62886302800122.1
63.0 -41882119914029.03
