# num = 1e+06
# L = 256
# K = 0.9
# J = 0.6
0	1
1	0.742037
2	0.64354
3	0.592092
4	0.556596
5	0.530324
6	0.510358
7	0.491876
8	0.477763
9	0.464886
10	0.451953
11	0.440988
12	0.429899
13	0.420735
14	0.410738
15	0.401757
16	0.392506
17	0.384561
18	0.376017
19	0.36801
20	0.360175
21	0.351661
22	0.343774
23	0.336607
24	0.329673
25	0.322425
26	0.315133
27	0.308405
28	0.301761
29	0.294893
30	0.288634
31	0.282645
32	0.276392
33	0.26941
34	0.263822
35	0.256883
36	0.250361
37	0.244581
38	0.238484
39	0.232589
40	0.225955
41	0.220232
42	0.214767
43	0.208771
44	0.203775
45	0.199197
46	0.193549
47	0.188418
48	0.18305
49	0.177905
50	0.173038
51	0.167565
52	0.161884
53	0.156992
54	0.152643
55	0.14844
56	0.143874
57	0.138861
58	0.134656
59	0.130206
60	0.126052
61	0.121389
62	0.117374
63	0.114
64	0.109735
65	0.104977
66	0.100976
67	0.0968808
68	0.0923125
69	0.0879393
70	0.0834421
71	0.0794393
72	0.0749875
73	0.0700011
74	0.0663314
75	0.0617353
76	0.0582059
77	0.0542505
78	0.0512401
79	0.0477203
80	0.0442239
81	0.0416342
82	0.0384442
83	0.0347351
84	0.0317584
85	0.0286961
86	0.0254599
87	0.0226248
88	0.0195421
89	0.0160804
90	0.0139701
91	0.0109719
92	0.00810549
93	0.00488141
94	0.0019913
95	-0.000574977
96	-0.00303232
97	-0.00575815
98	-0.0080854
99	-0.0106723
100	-0.0134977
101	-0.0151059
102	-0.0175297
103	-0.019175
104	-0.0207185
105	-0.0222515
106	-0.0239423
107	-0.025419
108	-0.0266737
109	-0.0272686
110	-0.0281004
111	-0.0295361
112	-0.0299014
113	-0.0310743
114	-0.0318196
115	-0.032525
116	-0.0332652
117	-0.0335221
118	-0.0332383
119	-0.0336135
120	-0.0333154
121	-0.0342217
122	-0.0344899
123	-0.0340622
124	-0.0344982
125	-0.0342204
126	-0.0345437
127	-0.0346843
