# num = 7.5e+08
# L = 256
# K = 1
# J = 0.5
0	0.499995
1	0.2855
2	0.201738
3	0.15686
4	0.127758
5	0.106828
6	0.090787
7	0.0780745
8	0.0676957
9	0.0591162
10	0.0518508
11	0.0456654
12	0.040398
13	0.0358264
14	0.0318852
15	0.0284393
16	0.0254249
17	0.0227685
18	0.0204161
19	0.0183375
20	0.0165155
21	0.0148725
22	0.0134173
23	0.01212
24	0.0109635
25	0.0099252
26	0.00897111
27	0.00814265
28	0.00739224
29	0.00669929
30	0.00609488
31	0.0055216
32	0.00502536
33	0.00455302
34	0.00417652
35	0.00376308
36	0.00344139
37	0.00311119
38	0.00283153
39	0.00258848
40	0.00239416
41	0.00216952
42	0.00199546
43	0.00185299
44	0.00170618
45	0.00156882
46	0.00144687
47	0.00132696
48	0.00122065
49	0.00113751
50	0.0010635
51	0.000994716
52	0.000901388
53	0.000847061
54	0.000801453
55	0.000757875
56	0.000696376
57	0.000649163
58	0.000596668
59	0.000567338
60	0.00052193
61	0.000475671
62	0.000465849
63	0.000448854
64	0.000394252
65	0.000355542
66	0.000344018
67	0.000319517
68	0.000299664
69	0.000266313
70	0.00024916
71	0.00025371
72	0.000232071
73	0.000238669
74	0.00022573
75	0.000199416
76	0.000215304
77	0.000197713
78	0.000204525
79	0.000188454
80	0.000212409
81	0.000196965
82	0.000197027
83	0.000175982
84	0.000180261
85	0.000182435
86	0.000143897
87	0.000171984
88	0.000185487
89	0.000183301
90	0.000186584
91	0.000178444
92	0.000146599
93	0.000152368
94	0.000155297
95	0.000168919
96	0.000161682
97	0.000169464
98	0.000194581
99	0.000181285
100	0.000177801
101	0.000161488
102	0.000171042
103	0.000155134
104	0.000134235
105	0.000147956
106	0.000145054
107	0.000134145
108	0.000163893
109	0.000131611
110	0.000130285
111	0.000117143
112	0.000118194
113	0.00013943
114	0.000144673
115	0.000143959
116	0.000151793
117	0.00017839
118	0.00016095
119	0.000163053
120	0.000167303
121	0.000157165
122	0.000163001
123	0.00014086
124	0.000139487
125	0.000139453
126	0.00014835
127	0.000153024
